Check_Date,Query,Market,Google_Organic_Rank,Bing_Organic_Rank,Google_AI_Mention,ChatGPT_Mention,Copilot_Mention,Perplexity_Mention,Source_Cited,Best_Landing_Page,Notes
,mechanic Fort Myers,"Fort Myers, FL",,,,,,,,https://fixingfortmyers.com/,"Baseline not checked"
,auto repair Fort Myers,"Fort Myers, FL",,,,,,,,https://fixingfortmyers.com/auto-repair-fort-myers,"Baseline not checked"
,car AC repair Fort Myers,"Fort Myers, FL",,,,,,,,https://fixingfortmyers.com/ac-repair-fort-myers,"Baseline not checked"
,auto diagnostics Fort Myers,"Fort Myers, FL",,,,,,,,https://fixingfortmyers.com/auto-diagnostics-fort-myers,"Baseline not checked"
,check engine light diagnosis Fort Myers,"Fort Myers, FL",,,,,,,,https://fixingfortmyers.com/check-engine-light-diagnosis-fort-myers,"Baseline not checked"
,module programming Fort Myers,"Fort Myers, FL",,,,,,,,https://fixingfortmyers.com/module-programming-fort-myers,"Baseline not checked"
,auto electrical repair Fort Myers,"Fort Myers, FL",,,,,,,,https://fixingfortmyers.com/auto-electrical-repair-fort-myers,"Baseline not checked"
,no start diagnosis Fort Myers,"Fort Myers, FL",,,,,,,,https://fixingfortmyers.com/no-start-diagnosis-fort-myers,"Baseline not checked"
,BMW repair Fort Myers,"Fort Myers, FL",,,,,,,,https://fixingfortmyers.com/case-studies#bmw-oil-pan,"Baseline not checked"
,classic car repair Fort Myers,"Fort Myers, FL",,,,,,,,https://fixingfortmyers.com/case-studies#el-camino,"Baseline not checked"
